status,type,origin,destination,trip_sub1,url,error
PASS,hotel,,Tokyo,guide_tokyo_hotels,"https://sg.trip.com/hotels/list?city=228&display=Tokyo&optionId=228&optionType=City&optionName=Tokyo&Allianceid=10173661&SID=328960094&trip_sub1=guide_tokyo_hotels&trip_sub3=D19367728",""
PASS,hotel,,Bangkok,guide_bangkok_hotels,"https://sg.trip.com/hotels/list?city=359&display=Bangkok&optionId=359&optionType=City&optionName=Bangkok&Allianceid=10173661&SID=328960094&trip_sub1=guide_bangkok_hotels&trip_sub3=D19381427",""
PASS,hotel,,Mexico City,guide_mexico_city_hotels,"https://sg.trip.com/hotels/list?city=691&display=Mexico%20City&optionId=691&optionType=City&optionName=Mexico%20City&Allianceid=10173661&SID=328960094&trip_sub1=guide_mexico_city_hotels&trip_sub3=D19381427",""
PASS,hotel,,Cancun,guide_cancun_hotels,"https://sg.trip.com/hotels/list?city=812&display=Cancun&optionId=812&optionType=City&optionName=Cancun&Allianceid=10173661&SID=328960094&trip_sub1=guide_cancun_hotels&trip_sub3=D19381427",""
PASS,hotel,,Lisbon,guide_lisbon_hotels,"https://sg.trip.com/hotels/list?city=1231&display=Lisbon&optionId=1231&optionType=City&optionName=Lisbon&Allianceid=10173661&SID=328960094&trip_sub1=guide_lisbon_hotels&trip_sub3=D19381427",""
PASS,hotel,,Barcelona,guide_barcelona_hotels,"https://sg.trip.com/hotels/list?city=40795&display=Barcelona&optionId=40795&optionType=City&optionName=Barcelona&Allianceid=10173661&SID=328960094&trip_sub1=guide_barcelona_hotels&trip_sub3=D19381427",""
PASS,hotel,,Rome,guide_rome_hotels,"https://sg.trip.com/hotels/list?city=343&display=Rome&optionId=343&optionType=City&optionName=Rome&Allianceid=10173661&SID=328960094&trip_sub1=guide_rome_hotels&trip_sub3=D19381427",""
PASS,hotel,,Paris,guide_paris_hotels,"https://sg.trip.com/hotels/list?city=192&display=Paris&optionId=192&optionType=City&optionName=Paris&Allianceid=10173661&SID=328960094&trip_sub1=guide_paris_hotels&trip_sub3=D19381427",""
PASS,hotel,,Athens,guide_athens_hotels,"https://sg.trip.com/hotels/list?city=710&display=Athens&optionId=710&optionType=City&optionName=Athens&Allianceid=10173661&SID=328960094&trip_sub1=guide_athens_hotels&trip_sub3=D19381427",""
PASS,hotel,,Istanbul,guide_istanbul_hotels,"https://sg.trip.com/hotels/list?city=532&display=Istanbul&optionId=532&optionType=City&optionName=Istanbul&Allianceid=10173661&SID=328960094&trip_sub1=guide_istanbul_hotels&trip_sub3=D19381427",""
PASS,hotel,,Seoul,guide_seoul_hotels,"https://sg.trip.com/hotels/list?city=274&display=Seoul&optionId=274&optionType=City&optionName=Seoul&Allianceid=10173661&SID=328960094&trip_sub1=guide_seoul_hotels&trip_sub3=D19381427",""
PASS,hotel,,Singapore,guide_singapore_hotels,"https://sg.trip.com/hotels/list?city=73&display=Singapore&optionId=73&optionType=City&optionName=Singapore&Allianceid=10173661&SID=328960094&trip_sub1=guide_singapore_hotels&trip_sub3=D19381427",""
PASS,hotel,,Bali,guide_bali_hotels,"https://sg.trip.com/hotels/list?city=723&display=Bali&optionId=723&optionType=City&optionName=Bali&Allianceid=10173661&SID=328960094&trip_sub1=guide_bali_hotels&trip_sub3=D19381427",""
PASS,hotel,,Ho Chi Minh City,guide_ho_chi_minh_city_hotels,"https://sg.trip.com/hotels/list?city=301&display=Ho%20Chi%20Minh%20City&optionId=301&optionType=City&optionName=Ho%20Chi%20Minh%20City&Allianceid=10173661&SID=328960094&trip_sub1=guide_ho_chi_minh_city_hotels&trip_sub3=D19381427",""
PASS,hotel,,Dubai,guide_dubai_hotels,"https://sg.trip.com/hotels/list?city=220&display=Dubai&optionId=220&optionType=City&optionName=Dubai&Allianceid=10173661&SID=328960094&trip_sub1=guide_dubai_hotels&trip_sub3=D19381427",""
PASS,hotel,,Marrakesh,guide_marrakesh_hotels,"https://sg.trip.com/hotels/list?city=1360&display=Marrakech&optionId=1360&optionType=City&optionName=Marrakech&Allianceid=10173661&SID=328960094&trip_sub1=guide_marrakesh_hotels&trip_sub3=D19381427",""
PASS,hotel,,London,guide_london_hotels,"https://sg.trip.com/hotels/list?city=338&display=London&optionId=338&optionType=City&optionName=London&Allianceid=10173661&SID=328960094&trip_sub1=guide_london_hotels&trip_sub3=D19381448",""
PASS,hotel,,Amsterdam,guide_amsterdam_hotels,"https://sg.trip.com/hotels/list?city=176&display=Amsterdam&optionId=176&optionType=City&optionName=Amsterdam&Allianceid=10173661&SID=328960094&trip_sub1=guide_amsterdam_hotels&trip_sub3=D19381448",""
PASS,hotel,,Berlin,guide_berlin_hotels,"https://sg.trip.com/hotels/list?city=193&display=Berlin&optionId=193&optionType=City&optionName=Berlin&Allianceid=10173661&SID=328960094&trip_sub1=guide_berlin_hotels&trip_sub3=D19381448",""
PASS,hotel,,Prague,guide_prague_hotels,"https://sg.trip.com/hotels/list?city=1288&display=Prague&optionId=1288&optionType=City&optionName=Prague&Allianceid=10173661&SID=328960094&trip_sub1=guide_prague_hotels&trip_sub3=D19381448",""
PASS,hotel,,Budapest,guide_budapest_hotels,"https://sg.trip.com/hotels/list?city=637&display=Budapest&optionId=637&optionType=City&optionName=Budapest&Allianceid=10173661&SID=328960094&trip_sub1=guide_budapest_hotels&trip_sub3=D19381448",""
PASS,hotel,,Copenhagen,guide_copenhagen_hotels,"https://sg.trip.com/hotels/list?city=260&display=Copenhagen&optionId=260&optionType=City&optionName=Copenhagen&Allianceid=10173661&SID=328960094&trip_sub1=guide_copenhagen_hotels&trip_sub3=D19381448",""
PASS,hotel,,Dublin,guide_dublin_hotels,"https://sg.trip.com/hotels/list?city=803&display=Dublin&optionId=803&optionType=City&optionName=Dublin&Allianceid=10173661&SID=328960094&trip_sub1=guide_dublin_hotels&trip_sub3=D19381448",""
PASS,hotel,,New York,guide_new_york_hotels,"https://sg.trip.com/hotels/list?city=633&display=New%20York&optionId=633&optionType=City&optionName=New%20York&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_hotels&trip_sub3=D19381448",""
PASS,hotel,,Miami,guide_miami_hotels,"https://sg.trip.com/hotels/list?city=25773&display=Miami&optionId=25773&optionType=City&optionName=Miami&Allianceid=10173661&SID=328960094&trip_sub1=guide_miami_hotels&trip_sub3=D19381448",""
PASS,hotel,,Montreal,guide_montreal_hotels,"https://sg.trip.com/hotels/list?city=759&display=Montreal&optionId=759&optionType=City&optionName=Montreal&Allianceid=10173661&SID=328960094&trip_sub1=guide_montreal_hotels&trip_sub3=D19381448",""
PASS,hotel,,Vancouver,guide_vancouver_hotels,"https://sg.trip.com/hotels/list?city=476&display=Vancouver&optionId=476&optionType=City&optionName=Vancouver&Allianceid=10173661&SID=328960094&trip_sub1=guide_vancouver_hotels&trip_sub3=D19381448",""
PASS,hotel,,Cartagena,guide_cartagena_hotels,"https://sg.trip.com/hotels/list?city=5123&display=Cartagena&optionId=5123&optionType=City&optionName=Cartagena&Allianceid=10173661&SID=328960094&trip_sub1=guide_cartagena_hotels&trip_sub3=D19381448",""
PASS,hotel,,Medellin,guide_medellin_hotels,"https://sg.trip.com/hotels/list?city=7434&display=Medellin&optionId=7434&optionType=City&optionName=Medellin&Allianceid=10173661&SID=328960094&trip_sub1=guide_medellin_hotels&trip_sub3=D19381448",""
PASS,hotel,,Buenos Aires,guide_buenos_aires_hotels,"https://sg.trip.com/hotels/list?city=807&display=Buenos%20Aires&optionId=807&optionType=City&optionName=Buenos%20Aires&Allianceid=10173661&SID=328960094&trip_sub1=guide_buenos_aires_hotels&trip_sub3=D19381448",""
PASS,hotel,,Lima,guide_lima_hotels,"https://sg.trip.com/hotels/list?city=837&display=Lima&optionId=837&optionType=City&optionName=Lima&Allianceid=10173661&SID=328960094&trip_sub1=guide_lima_hotels&trip_sub3=D19381448",""
PASS,hotel,,Santiago,guide_santiago_hotels,"https://sg.trip.com/hotels/list?city=852&display=Santiago&optionId=852&optionType=City&optionName=Santiago&Allianceid=10173661&SID=328960094&trip_sub1=guide_santiago_hotels&trip_sub3=D19381448",""
PASS,hotel,,Cape Town,guide_cape_town_hotels,"https://sg.trip.com/hotels/list?city=683&display=Cape%20Town&optionId=683&optionType=City&optionName=Cape%20Town&Allianceid=10173661&SID=328960094&trip_sub1=guide_cape_town_hotels&trip_sub3=D19382862",""
PASS,hotel,,Nairobi,guide_nairobi_hotels,"https://sg.trip.com/hotels/list?city=825&display=Nairobi&optionId=825&optionType=City&optionName=Nairobi&Allianceid=10173661&SID=328960094&trip_sub1=guide_nairobi_hotels&trip_sub3=D19382841",""
PASS,hotel,,Sydney,guide_sydney_hotels,"https://sg.trip.com/hotels/list?city=501&display=Sydney&optionId=501&optionType=City&optionName=Sydney&Allianceid=10173661&SID=328960094&trip_sub1=guide_sydney_hotels&trip_sub3=D19382841",""
PASS,hotel,,Queenstown,guide_queenstown_hotels,"https://sg.trip.com/hotels/list?city=3860&display=Queenstown&optionId=3860&optionType=City&optionName=Queenstown&Allianceid=10173661&SID=328960094&trip_sub1=guide_queenstown_hotels&trip_sub3=D19382841",""
PASS,hotel,,Malé,guide_maldives_hotels,"https://sg.trip.com/hotels/list?city=1207&display=Mal%C3%A9&optionId=1207&optionType=City&optionName=Mal%C3%A9&Allianceid=10173661&SID=328960094&trip_sub1=guide_maldives_hotels&trip_sub3=D19382841",""
PASS,flight,London,Tokyo,guide_london_tokyo_flights,"https://sg.trip.com/flights/London-to-Tokyo/tickets-LON-TYO?flighttype=S&dcity=LON&acity=TYO&Allianceid=10173661&SID=328960094&trip_sub1=guide_london_tokyo_flights&trip_sub3=D19382841",""
PASS,flight,London,Bangkok,guide_london_bangkok_flights,"https://sg.trip.com/flights/London-to-Bangkok/tickets-LON-BKK?flighttype=S&dcity=LON&acity=BKK&Allianceid=10173661&SID=328960094&trip_sub1=guide_london_bangkok_flights&trip_sub3=D19382862",""
